word-id,homograph,sentence
misprint_vrb,misprint ,"However, a�fatal exception�caused one crew member to misprint himself as a deformed monster."
misprint_vrb,misprint ,"Sadly, he misprint the title on th first page of the book."
misprint_vrb,misprint ,It's not my fault�they�misprint�them.
misprint_vrb,misprint ,It continues to misprint print its own�sterling banknotes�under legal arrangements that allow Scottish banks to issue currency.
misprint_vrb,misprint ,It was not economical to misprint single copies using traditional printing technology such as�letterpress�and�offset printing.
misprint_nou,misprint ,"When the misprint appeared on the title page of his first book, Faulkner was asked whether he wanted the change."
misprint_nou,misprint ,There was a misprint in the SV owners manual indicating bigger�intake valves�in English size (but correct size in metric).
misprint_nou,misprint ,"n this copy, the mistake (in the red circle) is corrected with a slip of paper pasted over the misprint."
misprint_nou,misprint ,"A�typographical error�(often shortened to�typo), also called a�misprint, is a mistake (such as a spelling or�transposition error) made in the�typing�of printed or electronic material"
misprint_nou,misprint , Sting supposed the latter was due to a misprint in the lyrics Cash was using.
redo_nou,redo ,The�redo�is expected to help the intelligence agencies work together
redo_nou,redo ,"The men's and women's races took place at the basin, along with�a�redo�of the reserve's race."
redo_nou,redo ," The HD was a massive redo of the look of the Holden, with a more refined grille, and the extended front fenders that were fought over at GM's design headquarters in Detroit."
redo_vrb,redo , Gymnasts who had vaulted on the incorrectly set apparatus were invited to redo their vaults at the end of the session; Ray accepted this offer and ended up in 13th place with her revised score.
redo_nou,redo ," Time-consuming work assignments had to be redone, even though no need for a redo existed."
redo_vrb,redo ," In 2019, Moira's backstory was fundamentally changed, revealing she had been a mutant all along, with a rare power that let her redo her life every time she died."
redo_vrb,redo , The guys try to redo the bathroom after Mo gives them a floor plan Yvette drew up on what her dream bathroom would look like.
redo_vrb,redo ," But in this case, we got their models and we had to redo the texture spaces because the way we texture maps is different."
redo_nou,redo ," Greenwood allowed a redo of the German armour counters while also introducing the Italians, followed by a Russian Front gamette redoing the Russians."
redo_vrb,redo ,Greenwood's predictions on future gamettes were also inaccurate given the need to redo every counter in the system from scratch.
rethink_nou,rethink ,"The project survived despite the rethink however, with a new business plan and an extra �1 million of funding from the Heritage Lottery Fund"
rethink_nou,rethink ,"This led to a rethink by the band, and they became less heavy, introducing a tame hard rock sound for later albums."
rethink_nou,rethink ,"Palmer wasn't interested in a simple compilation, preferring instead�a�rethink�and a fresh approach."
rethink_nou,rethink ,"The heavy defeat for the�National Government�candidate, a strong supporter of rearmament helped to bring about a rethink in the government's agenda."
rethink_nou,rethink ,�Negative public reaction to the proposed name prompted�a�rethink.�
rethink_vrb,rethink , He has to rethink his behavior.
rethink_vrb,rethink , The theft caused the family to rethink their security arrangements and this led to the painting being offered on loan to the Tate.
rethink_vrb,rethink ," From this moment on, secrets, lies and traumas from the past come to light, forcing the two sisters to rethink many personal aspects of their lives."
rethink_vrb,rethink ," Over at Kota, Dan's extra helpings of food caused conflict among the tribe while the dwindling food supplies at Fang made them rethink their rationing of food."
rethink_vrb,rethink ," They decide to embark on their relationship slowly, but his inability to trust her causes her to rethink the romance and she breaks up with Alfie, within less than a week."
upgrade_nou,upgrade ," In November 2020, an upgrade which included a new tourist reception area, a modern 7-seater washroom, three (3) pavilions for visitors, a fence of wire mesh and bamboo around the site, painting of the edifices and structures, a car park and paved grounds was commissioned."
upgrade_nou,upgrade ," Along with this project, the Los Angeles Department of Water and Power also undertook an upgrade of the security and safety of the city's water system at a cost of $132 million spent over a five-year period."
upgrade_nou,upgrade ," After the upgrade of the water treatment and supply facility, the Lower Stone Reservoir is not in use except in emergency situations."
upgrade_nou,upgrade ," In 1983, the Fed made a major upgrade of the automated system it uses to support Fedwire."
upgrade_nou,upgrade ," The effects of the RB19's upgrade would be more pronounced in Miami, with Verstappen topping the second and third free practices."
upgrade_vrb,upgrade , 70% of residents voted to upgrade the Community Council.
upgrade_vrb,upgrade ," A proposal to upgrade to Trans-Canada Highway standards a decade later, determined that the Selkirks route would be cheaper,[119] and not conflict with the Columbia River hydro-electric potential."
upgrade_vrb,upgrade , His first goal was to expand and upgrade even more.
upgrade_vrb,upgrade ," As part of the construction of the Karlsruhe–Basel high-speed railway, it was planned in 1990 to upgrade the railway between Karlsruhe and Offenburg for continuous operations at 160 km/h."
upgrade_vrb,upgrade ," The player can upgrade their default gun into an Assault Rifle, a Shotgun, a Grenade Launcher, or a Flamethrower."
,,
,,
,,
,,
,,