correct?, sentence, homograph, predicted pronunciation
t,118844,i've half a mind to shoot myself says jim and end it all i would too only for mother and aileen what's the use of life that isn't life but fear and misery from one day's end to another and we only just grown up,USE, 1 y uu s
f,97321,i knew something of his ways and i was aware of that part of the mechanism which he and all such sharpers use consists of an elastic down the arm with a clip just above the wrist it is by means of this clip,USE, 1 y uu s
t,30899,is that possible yes or figures are of no use the professor's calculations were quite correct,USE, 1 y uu s
t,81403,but the boy who could walk nearly six hundred miles to see his parents and be laughed at for poor clothes while he saved his money for their use was not to be overcome at thirty years of age by the failure of one or of a dozen papers,USE, 1 y uu s
t,18612,he strove hard to collect himself and remember the words of power he had made use of before in similar dread positions where his dangerous practice had sometimes led but he could recall nothing consecutively,USE, 1 y uu s
t,7489,we will pass to the consideration of a regular out and out pirate one from whose mast head would have floated the black flag with its skull and cross bones if that emblematic piece of bunting had been in use by the pirates of the period,USE, 1 y uu s
t,193040,they are also certainly of use as cleansing tools that is to say they can pick off tiny scraps of weed or dirt which settle on the animal's body some starfishes also own pincers of this sort but they are not so perfect as those of the funny little urchin,USE, 1 y uu s
t,20688,rather than that this task should be left to the cynic in any event this denial refers only to actual life the arts of narrative and dramatic poetry are still free to make use of the motives that result from a disturbance of this ideal,USE, 1 y uu s
t,204105,and where would be the use as long as coal is yet spread far and wide near the surface such as my eyes behold these virgin stores such they will be when this world comes to an end,USE, 1 y uu s
t,153726,that summer levin saw this at every step he sent the men to mow some clover for hay picking out the worst patches where the clover was overgrown with grass and weeds and of no use for seed again,USE, 1 y uu s
t,135445,name to england no inspector uncle has a code and i made use of it to ask a friend in london for a list of the most noted diamond fanciers in the country mister grey's name was third on the list,USE, 1 y uu s
f,3511,all this was heard distinctly by the curate and those with him and as it seemed to them to be uttered close by as indeed it was they got up to look for the speaker and before they had gone twenty paces they discovered behind a rock seated at the foot of an ash tree,CLOSE, 1 k l ou z
t,185518,once again kissed the ice cold brow and tried vainly to close the resisting eyes which glared horribly turned the head towards the wall so that the jailer might when he brought the evening meal believe that he was asleep as was his frequent custom,CLOSE, 1 k l ou z
t,36793,one evening as the sun was setting and the warders were going to close the gates of the city of york for the night a loud blast of a horn was heard it was made by the sentry on the wall near the southern gate an armed troop was approaching,CLOSE, 1 k l ou z
t,172125,no fire warmed the solitary hearth no gay and careless laughter betrayed the sleeping echoes into answer within the house were only dreams,HOUSE, 1 h ow s
t,118682,as well as she could that he might look tidy when he reached mother roundabout's house and so he set off on his way now when he got out of doors the sun shone warm and bright but it had rained the night before so that the ways were soft and miry,HOUSE, 1 h ow s
t,169569,what was she hinting at what underlay what could underlie her surprising remark i guess you never heard about this house something worth my knowing something which might explain mayor packard's fears and missus packard's there i stopped,HOUSE, 1 h ow s
t,51118,while i sat down to write this to you now my dear pamela let me beg of you on the receipt of this to order robin to drive you back again to my house i would have set out myself for the pleasure of bearing you company back in the chariot,HOUSE, 1 h ow s
t,112231,i never own to it before the old girl discipline must be maintained the greater part of the house is shut up and it is a show house no longer yet sir leicester holds his shrunken state,HOUSE, 1 h ow s
t,136427,he did not speak out positively there and then he accordingly departed somewhat abruptly and went home to consider whether he would seek to bring about a meeting with her in the evening while he sat quietly pondering he fancied that he heard a scraping on the wall outside his house,HOUSE, 1 h ow s
t,28349,how could she comfort father and mother when her own heart ached with a ceaseless longing for her sister how could she make the house cheerful when all its light and warmth and beauty,HOUSE, 1 h ow s
t,180920,i applied my head to the arched hole of the hen house door and by scraping away a little dirt contrived to gain admittance and very speedily transferred all the eggs to my own chest when the new purveyor arrived he found nothing but a beggarly account of empty boxes,HOUSE, 1 h ow s
t,199966,like a house for rent i declare it gives me the cold shivers,HOUSE, 1 h ow s
t,76447,such will be the relation between the house of representatives and their constituents duty gratitude interest ambition itself are the chords by which they will be bound to fidelity and sympathy with the great mass of the people,HOUSE, 1 h ow s
t,108788,the story of macbeth impressed them very much they knew the name of shakespeare having seen his name over a public house a boy defined conscience as a thing a gentleman hasn't got who when a boy finds his purse and gives it back to him,HOUSE, 1 h ow s
t,129119,a peasant and a house serf besides several looters but of all these various suspected characters pierre was considered to be the most suspicious of all,HOUSE, 1 h ow s
t,46910,it had been hard to advance further than the last stall it became impossible to proceed further than the last house she set her bucket on the ground thrust her hand into her hair and began slowly to scratch her head,HOUSE, 1 h ow s
t,61077,was back there again you must not suppose that miriam was a disagreeable person to have in the house on the contrary it was the very reverse everybody liked her,HOUSE, 1 h ow s
t,54699,beginning to think that his yarn smelt somewhat fishy what house this was the place he replied as cool as a cucumber is called clover cottage what's that i cried i almost jumped out of my chair,HOUSE, 1 h ow s
t,74513,but when a kick from the horse grazed the ear of one of them they kept at a respectful distance hello hello called dick loudly this also was the usual mountain notification that a guest had come and the heavy board door of the house opened inward,HOUSE, 1 h ow s
t,100113,remaining relic of the people of the heart and with the proceeds we bought at a cheap rate from the government of the day who had entered into possession of them this house and,HOUSE, 1 h ow s
t,62197,and then wandered about the house with that hungry homesick homeless look that nearly broke her heart no wonder indeed and so it had come it was true aunt hannah and kate and the talk to young wives were right,HOUSE, 1 h ow s
t,40315,its position had been changed in some late alterations to the house your rooms shall be changed to morrow isabel no let us remain in these i shall like to feel that papa was once their occupant i won't get nervous again,HOUSE, 1 h ow s
t,160607,dexterous irish diplomatists irish counts irish barons irish knights of saint lewis and of saint leopold of the white eagle and of the golden fleece who if they had remained in the house of bondage,HOUSE, 1 h ow s
t,94944,and his heart leaped to see beside it a tiny house of unpainted boards wires stretched from one window along the depression which led westward until they disappeared in the endless horizon and as he paused to survey a sharp bell rang,HOUSE, 1 h ow s
t,6160,harvey is as obstinate about such things as a dumb beast one would think the care i took of his bedridden father might learn him better than to despise good nursing but some day he may know what it is to want a careful woman in his house though now i am sure he is too despisable himself to have a house,HOUSE, 1 h ow s
t,2746,guests felt that they were receiving not conferring a favor when they stayed at her house even the smartest traveling men were flattered when missus gardener stopped to chat with them for a moment,HOUSE, 1 h ow s
t,87967,until the countess was more than ever persuaded that her first instinct had been right knowing vincent's loyalty to holy church and his obedience to authority she determined to have recourse to her brother in law the archbishop of paris an old house called the,HOUSE, 1 h ow s
t,167895,the nurse in terror flew to the bell and begged the footman who answered it to bring up the house steps directly trembling in every limb she climbed upon the steps and had to stand upon the very top and reach up,HOUSE, 1 h ow s
t,100358,and with the broad feathered hat which he still held in his hand he waved her on towards the house i'll not be detaining you any longer ma'am after all the cursed thing i did for nothing can be undone,HOUSE, 1 h ow s
t,33333,he kicked aside the dry shoes his wife had prepared for him and snarled at all she said mary attributed this to his finding her still there and gathered up her strength for an effort to leave the house but she was mistaken by and bye,HOUSE, 1 h ow s
t,146923,your guide hither tells me that you stopped for some time at the house of a fortune teller known as la masque why was this i was forced to stop on most important business,HOUSE, 1 h ow s
t,134970,a few sheep lay about which as they ruminated looked quietly into the bedroom windows the situation of the house prejudicial to humanity was a stimulus to vegetation,HOUSE, 1 h ow s
t,63744,sell their clothes in order to pay for their crossing over the sea and in the attire of fishermen exhausted by cold and hunger approach cordelia's house here again instead of the unnatural combined ravings of the fool lear and edgar as represented by shakespeare,HOUSE, 1 h ow s
t,60860,the brick and stone business blocks together with the public buildings were thrown down the court house hall of records the occidental and santa rosa hotels the athenaeum theatre the new masonic temple,HOUSE, 1 h ow s
t,72385,you spoke of boarding she said when constance paused at the door of her boarding house have you any particular place in view,HOUSE, 1 h ow s
t,143386,together with a corps of veterinarians biologists and security police by nightfall sally and her companions were all once again in a delicate condition a mile from the ranch house a dormitory was built for the veterinarians and biologists,HOUSE, 1 h ow s
t,37222,it is rather nice to get good and hungry jackie gravely observed that is if you have plenty in the house to eat,HOUSE, 1 h ow s
t,109916,he was there in the house could be summoned at any moment margaret could not sit still it was a relief to her to aid dixon in all her preparations for master frederick,HOUSE, 1 h ow s
t,98865,and blow every house into splinters of course the citizens having no way of defending themselves were obliged to allow the pirates to come on shore and depart unmolested,HOUSE, 1 h ow s
t,159868,i never play for i am not rich enough to afford to lose or sufficiently poor to desire to gain but i was at my own house you understand so there was nothing to be done but to send for the cards which i did just as they were sitting down to table,HOUSE, 1 h ow s
t,102817,the great question of whither he should go was settled and the first outline of this important change made out there had been three alternatives london bath or another house in the country all anne's wishes had been for the latter a small house in their own neighbourhood,HOUSE, 1 h ow s
t,93241,and which was attended with a slight fever this confined her several days to her house during which booth officiated as her nurse and never stirred from her in all this time she heard not a word from missus james which gave her some uneasiness,HOUSE, 1 h ow s
t,18980,but for the moment i cannot see beyond the sadness of it that to a prince of the royal house of araby,HOUSE, 1 h ow s
t,44729,very true very true indeed he mused then he turned to jed and asked is there a house near here jim lane lives up the trail bout half a quarter ever hear tell o jim,HOUSE, 1 h ow s
t,181657,the thing is preposterous and yet this very thing begins to receive credence in the minds of many of more as new facts are developed by the magisterial enquiry carried on inside the house,HOUSE, 1 h ow s
t,56220,long before the hull house theater was built we had many plays first in the drawing room and later in the gymnasium the young people's clubs never tired of rehearsing and preparing for these dramatic occasions,HOUSE, 1 h ow s
t,101053,nor would people believe that she did not wear rouge at sixty years of age she still looked young and was quite agile it was not until after that dreadful siege of our house by the indians which left me a widow ere i was a mother,HOUSE, 1 h ow s
t,192541,were the questions that went through the watching crowds and it was not long before the answer traveled from mouth to mouth it's one of rob fulton's inventions he read about making them in some book,MOUTH, 1 m ow th
t,67189,did i not forbid thee many a time when the oath of divorce was always in thy mouth as it were holy writ then he turned to his right and,MOUTH, 1 m ow th
t,98947,her tongue moistened and returned to the mouth and at last dot saw with joy the brown eyes open and she knew that her good friend was not going to die but would get well again whilst all this took place the little brown bird stood on one leg,MOUTH, 1 m ow th
t,14574,the mouth was silent the head began again is any one there the child answered yes who i you who are you whence do you come,MOUTH, 1 m ow th
t,162654,than old ben was to persuade the boy that monkeys did not possess reasoning faculties the monkey was busy at toby's ears nose and mouth as monkeys will do when they get an opportunity,MOUTH, 1 m ow th
t,69861,the porridge that was cold to earth folk was hot to him and the big spoonful of cold pease porridge had burned his mouth to a blister what s the matter asked the woman matter,MOUTH, 1 m ow th
t,110451,goes into a corner keeping me with him and opens his mouth no more i remark this because i remark everything that happens not because i care about myself or have done since i came home and now the bell begins to sound,MOUTH, 1 m ow th
t,68330,and pour it down the gun then take a bullet wet out of your mouth and drop it into the barrel using no ramrod the wet will cake the bullet pretty firmly in its right place firing in firing do not bring the gun to your shoulder,MOUTH, 1 m ow th
t,5826,the hall was a vast and intricate space galleries balconies broad spaces of amphitheatral steps and great archways far away high up seemed the mouth of a huge passage full of struggling humanity,MOUTH, 1 m ow th
t,14488,for since every man from the fact of his existence has the right of occupation and in order to live must have material for cultivation on which he may labor and since,LIVE, 1 l i v
t,159992,i'm sure he wouldn't want that said lady julia but you may live for twenty five years you know,LIVE, 1 l i v
t,181987,and they didn't know how they'd live till the new potatoes would be fit for eating so jack said to his mother one evening mother bake my cake and kill my hen till i go seek my fortune and if i meet it,LIVE, 1 l i v
t,60445,not exactly sir it is different with you but a man let him be who he may should live within certain means as for your sister i think she will break my heart,LIVE, 1 l i v
t,130383,went to sea and never returned the fruit of that marriage was a sprightly boy the husband not returning she again found herself with child and to cover her shame took leave of her husband's relations and went to live in the country taking her boy along with her,LIVE, 1 l i v
t,68917,now bertram's voice was almost savage oh no he isn't going to live here now interposed smooth tones from the doorway mister,LIVE, 1 l i v
t,131512,i told her that i wished to marry her but that i should never think of it as long as she resided with the abbe that abbe she said is a distant relative he used to live alone in his house in venice and two years ago he told me that he was in want of a housekeeper,LIVE, 1 l i v
t,43682,you know i cannot mister weston is such a good humoured pleasant excellent man that he thoroughly deserves a good wife and you would not have had miss taylor live with us for ever and bear all my odd humours when she might have a house of her own a house of her own,LIVE, 1 l i v
t,158255,these indeed were even in stanley's childhood old world hazy traditions of the servants hall but boys hear often more than is good and more than gospel who live in such houses as old general lake the old millionaire widower kept,LIVE, 1 l i v
t,19196,that the eels had come back to live in the old pond again mother eel opened her big mouth very wide on land she said decidedly as she swallowed the biggest little crayfish eels wriggle,LIVE, 1 l i v
t,163092,he must have been a disappointment to his soldier father he was puny and sickly and for a time it did not seem likely that he would live at all so when he was only a few months old he was taken from the uncongenial air of india and brought by his parents to england,LIVE, 1 l i v
t,154313,everything it's the destiny of women to love us thank god she would have been doomed surely to die if she had married the one who wanted her first or to live a life for her worse than death oh lord bless you boy yes,LIVE, 1 l i v
t,196954,for i could not live without you i have starved myself to death but i shall die content since i have seen your face once more no dear beast cried beauty passionately you shall not die you shall live to be my husband,LIVE, 1 l i v
f,93558,shall i make of the church in my foolish imaginations a temple of idolatrous worship by supposing that it is for the sake of supplying some need that god has or of gratifying some taste in him that i there listen to his word say prayers to him and sing his praises,SAKE, 1 s aa - 0 k ei
f,95355,perhaps but he thought i was considering his health however he spoke up well at the trial and quite explained bernard's innocence durham shrugged his shoulders the serpent in the bamboo he was forced to be honest at the trial for his own sake,SAKE, 1 s aa - 0 k ei
f,130925,for goodness sake let him find you out for he don't know you,SAKE, 1 s aa - 0 k ei
f,166185,i hope you had not taken it in your head that i meant to leave you independent what i have done for you i have done purely for your father's sake i was under no obligation to take the least trouble about you but i have more regard to your welfare,SAKE, 1 s aa - 0 k ei
f,83461,he was turning away when a voice cried the second time brother for pity's sake fetch me some water i'm dying of thirst so the prince went back and brought some more water and again a hoop sprang,SAKE, 1 s aa - 0 k ei
t,205723,for gold conjures up a mist about a man more destructive of all his old senses and lulling to his feelings than the fumes of charcoal it brought along with it a companion thought that if they were intimate he would want to borrow money of him,INTIMATE, 1 i n - 0 t i - 0 m @ t
t,200497,but the far more serious injury presented by the re opened wound was no longer a subject of anxiety to myself or to any one about me i was sufficiently restored to be capable of making the journey to lerwick,WOUND, 1 w uu n d
t,82106,he did his best but when they passed opening after opening into the green recesses of the wood and the granite boulders grew more and more plentiful his patience gave out and he began to plan what he could say to excuse himself chris was behind,EXCUSE, 0 i k - 1 s k y uu z
t,201599,will be almost of themselves a sufficient guide in every state there have been made and must continue to be made regulations on this subject which will in many cases leave little more to be done by the federal legislature,SUBJECT, 1 s uh b - 0 jh i k t
t,103496,especially in such cases where the strangeness of the thing seemed to strike upon the touched person notwithstanding good breeding forbade his proposing the mystery on the spot as a subject of discussion for the company,SUBJECT, 1 s uh b - 0 jh i k t
t,42972,i'm speaking as if she cared for me and would marry me d'ye think she does care at all for me mary asked he anxiously mary had a very decided opinion of her own on the subject but she did not feel as if she had any right to give it,SUBJECT, 1 s uh b - 0 jh i k t
t,60221,but he may then repent and you know repentance always comes too late with me my lord i will exert all the efforts in my power for his welfare but what is the subject on which he has refused to comply with your desires,SUBJECT, 1 s uh b - 0 jh i k t
t,205965,towards evening when the geography mistress began dictating her subject the girls in the class sat with folded arms you mean that you are not going to work said the mistress at last,SUBJECT, 1 s uh b - 0 jh i k t
t,83018,the nonexistence of evil the true explanation of this subject is very difficult know that beings are of two kinds material and spiritual,SUBJECT, 1 s uh b - 0 jh i k t
t,116782,one day the king happened to be passing the tower and heard him exclaim i am the king's most faithful subject how have i incurred his displeasure then in spite of the protests of charming's enemies,SUBJECT, 1 s uh b - 0 jh i k t
t,30022,and perforce address a great part of his conversation she was the first to recover her self possession she began to talk on the subject which came uppermost in her mind after the first flush of awkward shyness mister lennox,SUBJECT, 1 s uh b - 0 jh i k t
t,8726,and others of the son and the uncle not letting him all manner of solemn nonsense was talked on the subject but i believed none of it ever since the day about four years ago,SUBJECT, 1 s uh b - 0 jh i k t
t,133160,with a not unpleasant thrill like what a good ghost story gives one at the uncanny coincidence of my having so unexpectedly divined the subject of her studies it was a book of domestic cookery open at the article bread sauce,SUBJECT, 1 s uh b - 0 jh i k t
t,138282,to carl let's go to the movies he suggested changing the subject for safety right o carl put on his freshman cap and flung hugh's to him,SUBJECT, 1 s uh b - 0 jh i k t
t,91574,we massaged and comforted poor ned land who was swearing like one possessed but just then lifted off by the tide's final undulations the nautilus left its coral bed at exactly that fortieth minute pinpointed by the captain,MINUTE, 1 m i - 0 n i t
t,9523,when she came into the bedroom he was already in bed his lips were sternly compressed and his eyes looked away from her anna got into her bed and lay expecting every minute that he would begin to speak to her again she both feared his speaking and wished for it,MINUTE, 1 m i - 0 n i t
t,160799,one of the young cows was a bit strange with me so i had to shake a stick at her and sing out bail up pretty rough before she'd put her head in aileen smiled something like her old self for a minute and said,MINUTE, 1 m i - 0 n i t
t,50152,in his short old summer overcoat with his head bare and his soft old wide brimmed hat in his hand he seemed in a state of bewildered anxiety at one minute he stretched out his hand to support the head of the coffin and only hindered the bearers,MINUTE, 1 m i - 0 n i t
t,123318,go down below and remember what i've told you cried frere and comprehending at once what had occurred he made a mental minute of the name of the defaulting sentry the convict wiping the blood from his face turned on his heel without a word,MINUTE, 1 m i - 0 n i t
t,172176,did missy give it to you well you step out to the cabin and take it off this minute put you blue frock right on like as not her mammy won't let you keep it and aunt connie hurried jennie off to the dining room with the breakfast tray,MINUTE, 1 m i - 0 n i t
f,58956,henriette was charming in her new gown specially imported from paris a gown of oriental design with row upon row of brilliantly shining crescent shaped ornaments firmly affixed to the front of it and every one of them as sharp as a steel knife i could see at a glance,ROW, 1 r ow
f,110609,encouraged by a murmur of elderly approval lester standing in the front row of the onlookers turned to scan the crowd for the beaming faces of the happy parents,ROW, 1 r ow
t,140426,considering its inconveniences and how they had managed to keep up such a fashion for generations when it was plain that what i had suffered to day they had had to suffer all the days of their lives,LIVES, 1 l ai v z
t,2583,only the children had no fear and reached the other side in safety still though the chief and the young girl quailed in terror at these horrible sights and sounds no harm came to them for their lives had been free from evil,LIVES, 1 l ai v z
t,127084,good luke felt after the manner of contented hard working men whose lives have been spent in servitude that sense of natural fitness in rank which made his master's downfall a tragedy to him he was urged in his slow way to say something that would express his share in the family sorrow,LIVES, 1 l ai v z
t,206054,perhaps sue was thus venturesome with men because she was childishly ignorant of that side of their natures which wore out women's hearts and lives,LIVES, 1 l ai v z
t,142908,she got easily out of its lattice and on to the ground by means of the fir tree close by,CLOSE, 1 k l ou s
f,142149,i will not bend my head said the buckwheat then the old willow tree spoke close your flowers and bend your leaves do not look at the lightning when the cloud bursts even men cannot do that the sight of heaven would strike them blind,CLOSE, 1 k l ou s
t,48358,thus if a native is asked the distance to a certain village his answer will be one of these four close up long way little bit long way big bit or long way too much,CLOSE, 1 k l ou s
t,34334,transported with joy strove to break it but he could not succeed in despair he wished to approach near it so as at least to speak to the princess who on her part stretched her hand close to the crystal wall of the palace he was very anxious to kiss her hand,CLOSE, 1 k l ou s
t,5796,a tall man in a black robe stood by his shoulder and pointed to the half open door into the hall this man was shouting close to his ear and yet what was said was indistinct because of the tremendous uproar from the great theatre,CLOSE, 1 k l ou s
t,140832,his weight told and he dragged her up from the hole and they fell together on the floor outside the zone of slipperiness in a moment he had raised her up and together they rushed out through the open door into the sunlight sir nathaniel close behind them,CLOSE, 1 k l ou s
t,132316,i ran along the subway after him it was very curious he'd been walking close to the white tiled wall and i saw him suddenly stop but he didn't turn he didn't even turn when i pulled up close behind him,CLOSE, 1 k l ou s
f,142518,just as i was setting off we heard two pistol cracks muffled but the noise from cartridges such as we carried nevertheless i grasped my weapon and started downstairs as i reached the top of the landing i heard the cellar door close with a bang on the floor below,CLOSE, 1 k l ou s
t,109469,and the little sister put her ear to the ground and heard the broom sweeping the earth close behind them so quick as thought she threw the comb down on the ground and in an instant as the cat had said,CLOSE, 1 k l ou s
t,170452,interrupted though they had not in general been on very friendly terms with each other they began to draw close together,CLOSE, 1 k l ou s
t,167362,we'll be there in less than five minutes where are you going to buy provisions yes dick made off followed not only by sam but likewise by tom he found a large grocery close at hand,CLOSE, 1 k l ou s
t,58651,and eve while scorning the idea that she could leave him alone with the influence of the forest all about him to have its unimpeded way she felt the pangs of that subtle jealousy bite keen and close he loved the forest better than herself,CLOSE, 1 k l ou s
t,198315,and buy a big sixteen cylinder pope gregory this car as i afterward learned was so vicious that the very first time she took it out for an airing it assaulted three helpless chickens and a pig,LEARNED, 1 l @@r n d
t,92638,but david had learned not to trust him he sought a home among the philistines and helped them in their wars they treated him with great kindness and their king became his true friend not long after this the philistines went out to battle against saul,LEARNED, 1 l @@r n d
t,52355,and therein he learned some of his first lessons in that accuracy of observation essential to his later life work here in this trained but untrammeled boyhood with an inherited incentive to labor and an educated thirst for knowledge,LEARNED, 1 l @@r n d
t,87099,she should have learned a lesson from her adventure in the air with the man but the qualifications were lacking her senses and her power of discrimination however had become keener and she grew more timid and watchful in regard to splashing and noise,LEARNED, 1 l @@r n d
t,159455,and his master was notified of his capture he was a mulatto negro and his master who was his father sent for him at colonel singleton's plantation but i never learned whether mister black the hunter was ever paid for capturing him,LEARNED, 1 l @@r n d
t,93516,he had learned the art of quartering himself upon the enemy while the butler brought his supper he occupied himself in making his preparations for a comfortable night,LEARNED, 1 l @@r n d
t,22952,he explained that he had heard about that school as by this time almost every one in the green forest and on the green meadows had by chance he learned that danny meadow mouse was attending he thought that if it was a good thing for danny it would be a good thing for him,LEARNED, 1 l @@r n d
t,190931,i opened the trap and looked down but quickly shut it again when i felt the air rushing out of the ship into the rarefied atmosphere in a torrent gibbons literally yelled a protest from his instrument board i forgot i mumbled,PROTEST, 1 p r ou - 0 t e s t
t,145396,he found however a little side door open and through this he went and stepped into our new market of the present time it was a huge desolate plain some wild bushes stood up here and there while across the field flowed a broad canal or river,PRESENT, 1 p r e - 0 z n! t
t,52066,been the daughter of one of the colleagues of our present prime minister the gentleman who fired the pistol another of them and the presumed lover who was fired at also another we think that we need hardly answer that question,PRESENT, 1 p r e - 0 z n! t
t,87535,with the nature of present social life one the implications of human association society is one word but many things men associate together in all kinds of ways and for all kinds of purposes,PRESENT, 1 p r e - 0 z n! t
t,25258,so dangerous is it to introduce this idea of necessity into the present question and so naturally does it afford an inference directly opposite to the religious hypothesis,PRESENT, 1 p r e - 0 z n! t
t,131175,fully certified of his own superiority and took his measures with peregrine touching the prosecution of their scheme while his opponent made a report of his success to the brethren of the gang who resolved to be present at the decision of the match,PRESENT, 1 p r e - 0 z n! t
t,190078,but now people know better our present printed characters the very characters now under the reader's eye were ultimately developed from those old irish roman letters,PRESENT, 1 p r e - 0 z n! t
t,161763,well i'll expect you on monday remember yes sir said bertie happily he was not likely to forget as he went out amy came through the hall with a red sled here is william john's present i've tied all the other things on so that they can't fall off,PRESENT, 1 p r e - 0 z n! t
t,152031,he was ashamed however to dwell on such trivialities and thus to swell a gnat into an elephant but for his own part would only add that he had nothing deceitful or double about him neither was he to be caught when present by the false blandishments of those who slandered him in his absence,PRESENT, 1 p r e - 0 z n! t
t,470,little however for the present had come of his offers and it may be confided to the reader that if the young man delayed to carry them out it was because he found the labour of providing for his companion by no means so severe as to require extraneous help,PRESENT, 1 p r e - 0 z n! t
t,18894,but letting this matter pass for the present i will merely observe that from the first moment of his setting foot within the limits of the university he began to exercise over the habits,PRESENT, 1 p r e - 0 z n! t
t,126534,i received this magnificent present quite at a loss to find words to thank my mistress with for the honour she had done me,PRESENT, 1 p r e - 0 z n! t
t,120765,and the shortest to nine there are in the island at present following the number of the books in which the divine law was written,PRESENT, 1 p r e - 0 z n! t
t,191772,shields a veteran of the mexican war himself was not present at this moment but kimball commanding in his absence was alert and did not share the general belief that stonewall jackson might be considered non existent harry,PRESENT, 1 p r e - 0 z n! t
t,51918,and for instance become national property he had been present at the avatars of consolidated three per cents and he had no great faith in the great book of the public debt,PRESENT, 1 p r e - 0 z n! t
t,36582,as he wears at present it must also be remarked that if the young gentlemen and ladies soon grew weary as indeed they did of such a rough play fellow he in his turn,PRESENT, 1 p r e - 0 z n! t
t,81613,so that this consciousness not reaching to any of the actions of either of those men he is no more one self with either of them than of the soul of immaterial spirit that now informs him had been created and began to exist when it began to inform his present body,PRESENT, 1 p r e - 0 z n! t
